stop_id,stop_name,stop_lat,stop_lon
"de:05766:2043:0:1","Lemgo, Haferstraße","52.0292004923176","8.90105580861857"
"de:05766:2044:0:1","Lemgo, Treffpunkt Ri Lüp","52.0283824928719","8.89474065217033"
"de:05766:2044:0:2","Lemgo, Treffpunkt","52.0283548574942","8.89480353424023"
"de:05766:2046:0:1","Lemgo, Daimlerstraße Ri Lieb","52.0153919830092","8.90265480982452"
"de:05766:2047:0:1","Le-Brake, Schiefe Breite alle Ri","52.0132136303465","8.91362323944515"
"de:05766:2049:0:1","Le-Brake, Hasenkamp","52.0124838031979","8.92168112754482"
"de:05766:2049:0:2","Le-Brake, Hasenkamp","52.0124782741589","8.92173502646188"
"de:05766:2050:0:1","Le-Entrup","52.0521204987265","8.88277509258419"
"de:05766:2050:0:2","Le-Entrup","52.0520431607077","8.88273017681998"
"de:05766:2051:0:1","Lemgo, Am Kolk Ri Les","52.0391258336276","8.91573428036313"
"de:05766:2051:0:2","Lemgo, Am Kolk Ri Spi","52.0391258336276","8.91573428036313"
"de:05766:2052:0:1","Lemgo, Hamelner Straße","52.0271057205904","8.91792616965668"
"de:05766:2053:0:1","Lemgo, Heutor","52.0254033008439","8.89011432845647"
"de:05766:2054:0:1","Lemgo, Grevenmarsch","52.0249003007895","8.88150846803341"
"de:05766:2055:0:1","Lemgo, An der Bega","52.0237063439437","8.87789724059074"
"de:05766:2056:0:1","Lemgo, Kleiner Schratweg","52.0206107518329","8.87987353421608"
"de:05766:2057:0:1","Lemgo, Laubker Weg","52.0111125806039","8.88093354625149"
"de:05766:2057:0:2","Lemgo, Laubker Weg","52.0111125806039","8.88094252940433"
"de:05766:2058:0:1","Lemgo, Otto-Hahn-Straße","52.0085967202029","8.88959330559161"
"de:05766:2060:0:1","Bad Salzuflen, Volkhausenstr Ri Her","52.0889899547616","8.74076941245081"
"de:05766:2060:0:2","Bad Salzuflen, Volkhausenstr Ri Goe","52.0889899547616","8.74075144614512"
"de:05766:2061:0:1","Bad Salzuflen, Schnatweg Ri Bhf","52.0910652685296","8.72541720424307"
"de:05766:2062:0:1","B.S-Knetterhei., Weiße Breden Ri Gru","52.0615492096911","8.73742767959342"
"de:05766:2062:0:2","B.S-Knetterhei., Weiße Breden Ri Fin","52.0615492096911","8.73749056166332"
"de:05766:2065:0:1","Bad Salzuflen, Sauerbruchstr Ri Her","52.0893542455459","8.73024115731946"
"de:05766:2080:0:1","B.S-Holzhausen, Rote Erde Ri Höh","52.0415957738024","8.75460346782818"
"de:05766:2080:0:2","B.S-Holzhausen, Rote Erde Ri ZOB","52.0415957738024","8.75455855206396"
"de:05766:2083:0:2","Detmold, Bülowstraße Ri St","51.9338250138689","8.86803373876974"
"de:05766:2084:0:1","Detmold, Ecclesiastraße","51.9438102747901","8.85459494211744"
"de:05766:2084:0:2","Detmold, Ecclesiastraße Ri Kl","51.9438047372691","8.85459494211744"
"de:05766:2085:0:1","Detmold, Am Oberen Feld","51.9556202512198","8.85178321527775"
"de:05766:2086:0:1","Detmold, Einkaufszentrum Jerxen Orbke Ri Kre","51.9535164981035","8.85446917797764"
"de:05766:2102:0:1","B.S-Schötmar, Am alten Teich Ri Loc","52.0752937756922","8.76045150032861"
"de:05766:2105:0:1","Detmold, Sedanstraße Ri Bf","51.9389425300431","8.87408838378555"
"de:05766:2106:0:1","Detmold, Klinikum Ri Bf","51.9426584557085","8.87651383505301"
"de:05766:2106:0:2","Detmold, Klinikum Ri JO","51.9426695310328","8.87654976766438"
"de:05766:2107:0:1","Detmold, Südholzstraße Ri Bf","51.945980930357","8.87345057993373"
"de:05766:2107:0:2","Detmold, Südholzstraße Ri JO","51.94606398907","8.87342363047521"
"de:05766:2108:0:1","Detmold, Pinneichen Ri Bf","51.9497516409034","8.86923748125063"
"de:05766:2108:0:2","Detmold, Pinneichen Ri JO","51.9485889005337","8.87052207210709"
"de:05766:2110:0:1","Detmold, Kreuzstraße Ri Am B","51.951551060617","8.85359781215193"
"de:05766:2110:0:2","Detmold, Kreuzstraße Ri Re","51.9515676703089","8.85369662683319"
"de:05766:2112:0:1","Detmold, Klusstraße Ri Ba","51.9400556786672","8.88747328152079"
"de:05766:2112:0:2","Detmold, Klusstraße Ri Brok","51.940061216651","8.88742836575658"
"de:05766:2113:0:1","Detmold-Barkhausen Ri Mei","51.973614378436","8.93264955716545"
"de:05766:2113:0:2","Detmold-Barkhausen Ri Bark","51.9735590399973","8.93258667509555"
"de:05766:2116:0:1","Detmold, Steinstoß Ri Humb","51.932484615556","8.86553642227954"
"de:05766:2122:0:1","Detmold, Westerfeldstr Ri Nie","51.9559247336253","8.84573755341479"
"de:05766:2126:0:1","B.S-Holzhausen, Benzstraße Ri Höh","52.0522254572523","8.75353447263993"
"de:05766:2126:0:2","B.S-Holzhausen, Benzstraße Ri ZOB","52.0522586019987","8.75352548948708"
"de:05766:2127:0:1","B.S-Schötmar, Thüringer Straße Ri Höh","52.0570919476022","8.75878961705276"
"de:05766:2127:0:2","B.S-Schötmar, Thüringer Straße Ri ZOB","52.0570753770249","8.7587357181357"
"de:05766:2128:0:1","Le-Brake, Wiembecker Straße Ri Maß","52.0080658832347","8.92805018291012"
"de:05766:2128:0:2","Le-Brake, Wiembecker Straße","52.0080327057152","8.92811306498001"
"de:05766:2154:0:1","Le-Entrup, Am Kurzen Land Ri Sche","52.0497008601455","8.88335899751895"
"de:05766:2154:0:2","Le-Entrup, Am Kurzen Land Ri Schl","52.0496290423863","8.88343984589453"
"de:05766:2166:0:1","B.S-Wüsten, Im Frettholz Ri ZOB","52.1040834522044","8.77065636195763"
"de:05766:2166:0:2","B.S-Wüsten, Im Frettholz Ri Wü","52.1040834522044","8.7706294124991"
"de:05766:2175:0:1","Dt-Jerxen-Orbke, Heidlandstr. Ri Bf","51.9531621720771","8.86288639219102"
"de:05766:2175:0:2","Dt-Jerxen-Orbke, Heidlandstr. Ri JO","51.9531677084428","8.86279656066259"
"de:05766:2176:0:1","Dt-Jerxen-Orbke, Vereinshaus Ri Bf","51.9550057440674","8.85857447882664"
"de:05766:2176:0:2","Dt-Jerxen-Orbke, Vereinshaus Ri JO","51.9550500331528","8.85857447882664"
"de:05766:2177:0:1","Dt-Jerxen-Orbke, Abzw. Niewald","51.9568326325228","8.8598770359888"
"de:05766:2178:0:1","Dt-Niewald, Abzw.Bremke","51.9665747804573","8.85101964728615"
"de:05766:2179:0:1","Dt-Niewald, Niederfriedrich","51.9717272991042","8.84868402754711"
"de:05766:2179:0:2","Dt-Niewald, Niederfriedrich","51.9717217650303","8.8487019938528"
